Date,Calories Burned
4/1/16,"063"
4/2/16,"184"
4/3/16,"104"
4/4/16,"304"
4/5/16,"780"
4/6/16,"136"
4/7/16,"431"
4/8/16,"067"
4/9/16,"299"
4/10/16,"628"
4/11/16,"834"
